Charstic_Name,Result_Value,Result_UOM_1,Rslt_Det_Cond1,Sample_Frac1,Analyical_Method,Method_Det_Limit,Result_Status,Comments_Txt,Lab_Accession,SubmittedTo_SEQ,Sample_Depth,Sample_Depth_UOM,Instream_Locaction,Sample_Type,Activity_Type,Activity_Name,Field_Activity_Date,Field_Activity_Time,STA_SEQ,Station_Name,Station_Type,Project_Name,Trip_Name,Location,State_Name,Municipality_Name,ADB_SegmentID1,SubBasin,Station_Long,Station_Lat,Station_Type_1,Org_Name_1,textbox24
Ammonia-nitrogen,0.042,ppm,,,Ammonia Nitrogen by Colorimetry,"0.010 ppm - Estimated Detection Level, 0.003 ppm - Method Detection Level (MDL)",,,190219-001,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/18/2019,10:21:00 AM,19931,Charters Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,Adjacent Shenipsit Lake Road,Connecticut,TOLLAND,,4501 - Charters Brook - Hockanum - Connecticut - Charters Brook,-72.40556,41.903266,River/Stream,CESE,Total count:   480
Total suspended solids,13,ppm,,,Non-Filterable Residue - TSS,"5.000 ppm - Estimated Detection Level, 2.000 ppm - Method Detection Level (MDL)",,,190219-001,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/18/2019,10:21:00 AM,19931,Charters Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,Adjacent Shenipsit Lake Road,Connecticut,TOLLAND,,4501 - Charters Brook - Hockanum - Connecticut - Charters Brook,-72.40556,41.903266,River/Stream,CESE,Total count:   480
Magnesium,2190,ppb,,,Calcium - AA Spectrometry,"100.000 ppb - Estimated Detection Level, 25.000 ppb - Method Detection Level (MDL)",,,190219-001,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/18/2019,10:21:00 AM,19931,Charters Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,Adjacent Shenipsit Lake Road,Connecticut,TOLLAND,,4501 - Charters Brook - Hockanum - Connecticut - Charters Brook,-72.40556,41.903266,River/Stream,CESE,Total count:   480
"Hardness, Ca, Mg",26.2,ppm,,,Hardness in Water by EDTA Titration,"0.700 ppm - Estimated Detection Level, 0.200 ppm - Method Detection Level (MDL)",,,190219-001,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/18/2019,10:21:00 AM,19931,Charters Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,Adjacent Shenipsit Lake Road,Connecticut,TOLLAND,,4501 - Charters Brook - Hockanum - Connecticut - Charters Brook,-72.40556,41.903266,River/Stream,CESE,Total count:   480
Chloride,29,ppm,,,Inorganic Anions by Ion Chromatography,"2.500 ppm - Estimated Detection Level, 0.200 ppm - Method Detection Level (MDL)",,,190219-001,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/18/2019,10:21:00 AM,19931,Charters Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,Adjacent Shenipsit Lake Road,Connecticut,TOLLAND,,4501 - Charters Brook - Hockanum - Connecticut - Charters Brook,-72.40556,41.903266,River/Stream,CESE,Total count:   480
Orthophosphate,0.005,ppm,,,Phosphorus by Colorimetry,"0.010 ppm - Estimated Detection Level, 0.001 ppm - Method Detection Level (MDL)",,,190219-002,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/18/2019,11:45:00 AM,20123,Labonte Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,Adjacent Babcock Road,Connecticut,WILLINGTON,,3100 - Willimantic River - Willimantic - Thames - Willimantic River,-72.3077,41.90359,River/Stream,CESE,Total count:   480
Phosphorus,0.012,ppm,,,Total Phosphorus After Block Digestion,"0.010 ppm - Estimated Detection Level, 0.001 ppm - Method Detection Level (MDL)",,,190219-002,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/18/2019,11:45:00 AM,20123,Labonte Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,Adjacent Babcock Road,Connecticut,WILLINGTON,,3100 - Willimantic River - Willimantic - Thames - Willimantic River,-72.3077,41.90359,River/Stream,CESE,Total count:   480
Ammonia-nitrogen,0.016,ppm,,,Ammonia Nitrogen by Colorimetry,"0.010 ppm - Estimated Detection Level, 0.003 ppm - Method Detection Level (MDL)",,,190219-002,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/18/2019,11:45:00 AM,20123,Labonte Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,Adjacent Babcock Road,Connecticut,WILLINGTON,,3100 - Willimantic River - Willimantic - Thames - Willimantic River,-72.3077,41.90359,River/Stream,CESE,Total count:   480
Turbidity,0.5,None,,,Turbidity by Nephelometry,"0.300 None - Estimated Detection Level, 0.100 None - Method Detection Level (MDL)",,,190219-002,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/18/2019,11:45:00 AM,20123,Labonte Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,Adjacent Babcock Road,Connecticut,WILLINGTON,,3100 - Willimantic River - Willimantic - Thames - Willimantic River,-72.3077,41.90359,River/Stream,CESE,Total count:   480
Organic carbon,1.6,ppm,,,Total Organic Carbon by Combustion,"1.000 ppm - Estimated Detection Level, 0.500 ppm - Method Detection Level (MDL)",,,190219-002,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/18/2019,11:45:00 AM,20123,Labonte Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,Adjacent Babcock Road,Connecticut,WILLINGTON,,3100 - Willimantic River - Willimantic - Thames - Willimantic River,-72.3077,41.90359,River/Stream,CESE,Total count:   480
